rank,name,conference,record,away_record,tournament_record,home_record
59,Alabama,SEC,0.09090909090909091,-0.3333333333333333,0.3333333333333333,0.3333333333333333
60,UNC Greensboro,SoCon,0.6470588235294118,0.4666666666666667,0.5,0.8461538461538461
61,Minnesota,Big Ten,0.23529411764705882,-0.6363636363636364,0.7142857142857143,0.625
62,Toledo,MAC,0.5625,0.3333333333333333,0.5,0.7333333333333333
63,Arizona St,Pac-12,0.375,0.09090909090909091,0.2,0.625
64,Butler,Big East,0.0,-0.6363636363636364,-0.2,0.5
65,Arkansas,SEC,0.0625,-0.2727272727272727,-0.3333333333333333,0.3333333333333333
66,Colorado,Pac-12,0.2727272727272727,-0.23076923076923078,0.2,0.7333333333333333
67,Xavier,Big East,0.09090909090909091,-0.2727272727272727,-0.2,0.4117647058823529
68,UC Irvine,Big West,0.7142857142857143,0.7333333333333333,0.6666666666666666,0.6923076923076923
69,Dayton,Atlantic 10,0.3125,0.4,-0.6,0.5294117647058824
70,Providence,Big East,0.09090909090909091,-0.09090909090909091,-0.2,0.29411764705882354
71,Vermont,America East,0.6363636363636364,0.4666666666666667,0,0.7647058823529411
72,ETSU,SoCon,0.45454545454545453,0.14285714285714285,0.5,0.6923076923076923
73,St John's (NY),Big East,0.2727272727272727,-0.2727272727272727,1.0,0.47368421052631576
74,San Francisco,WCC,0.3548387096774194,0.09090909090909091,-0.3333333333333333,0.625
75,Davidson,Atlantic 10,0.45454545454545453,0.16666666666666666,0.0,0.8571428571428571
76,Hofstra,CAA,0.5882352941176471,0.3333333333333333,0.3333333333333333,0.8666666666666667
77,Missouri,SEC,-0.0625,-0.6,0.3333333333333333,0.125
78,Northeastern,CAA,0.3939393939393939,0.14285714285714285,0.3333333333333333,0.6923076923076923
79,Oklahoma St,Big 12,-0.25,-0.6363636363636364,-0.3333333333333333,0.06666666666666667
80,Fresno St,MWC,0.4375,0.4,0.2,0.5
81,South Carolina,SEC,0.0,-0.3333333333333333,-0.3333333333333333,0.25
82,Georgetown,Big East,0.1875,-0.09090909090909091,-0.3333333333333333,0.4444444444444444
83,Wichita St,AAC,0.15151515151515152,-0.2727272727272727,0.14285714285714285,0.4666666666666667
84,Texas A&M,SEC,-0.125,-0.2727272727272727,-0.5,0.058823529411764705
85,BYU,WCC,0.1875,-0.23076923076923078,-0.3333333333333333,0.625
86,Yale,Ivy League,0.5172413793103449,0.23076923076923078,1.0,0.6923076923076923
87,Oregon St,Pac-12,0.16129032258064516,0.09090909090909091,0.0,0.25
88,Southern California,Pac-12,-0.030303030303030304,-0.6363636363636364,-0.2,0.4117647058823529
89,Northwestern,Big Ten,-0.1875,-0.8,0.0,0.1111111111111111
90,Utah Valley,WAC,0.45454545454545453,0.06666666666666667,0.5,0.8333333333333334
91,Southern Miss,C-USA,0.25,0.0,0.0,0.6
92,Miami (FL),ACC,-0.125,-1.0,0.0,0.375
93,Arizona,Pac-12,0.0625,-0.2727272727272727,-0.5,0.4117647058823529
94,Tulsa,AAC,0.125,-0.45454545454545453,-0.5,0.6470588235294118
95,UConn,AAC,-0.030303030303030304,-0.7777777777777778,-0.3333333333333333,0.4444444444444444
96,Grand Canyon,WAC,0.21212121212121213,-0.16666666666666666,-0.14285714285714285,0.6923076923076923
97,San Diego,WCC,0.2,-0.23076923076923078,0.3333333333333333,0.4666666666666667
98,SMU,AAC,-0.0625,-0.4,0.0,0.1111111111111111
99,South Fla,AAC,0.1875,-0.2,-0.3333333333333333,0.4444444444444444
100,Old Dominion,C-USA,0.5294117647058824,0.3333333333333333,0.3333333333333333,0.75
101,Rutgers,Big Ten,-0.0967741935483871,-0.38461538461538464,-1.0,0.17647058823529413
102,DePaul,Big East,0.0,-0.5,0,0.3333333333333333
103,Saint Louis,Atlantic 10,0.3142857142857143,-0.3333333333333333,0.3333333333333333,0.7647058823529411
104,South Dakota St,Summit League,0.5,0.16666666666666666,0.2,0.8571428571428571
105,Utah,Pac-12,0.0967741935483871,0.09090909090909091,-0.6,0.3333333333333333
106,West Virginia,Big 12,-0.17647058823529413,-1.0,0.0,0.25
107,Col of Charleston,CAA,0.45454545454545453,0.23076923076923078,0.2,0.7142857142857143
108,Stanford,Pac-12,-0.03225806451612903,-0.38461538461538464,-0.5,0.42857142857142855
109,Illinois,Big Ten,-0.2727272727272727,-0.8,-0.42857142857142855,0.125
110,Penn,Ivy League,0.22580645161290322,0.2857142857142857,-0.5,0.3333333333333333
111,Western Ky,C-USA,0.17647058823529413,-0.14285714285714285,0.3333333333333333,0.42857142857142855
112,Notre Dame,ACC,-0.15151515151515152,-0.8,0.0,0.15789473684210525
113,Central Mich,MAC,0.35294117647058826,0.16666666666666666,0.2,0.42857142857142855
114,Akron,MAC,0.030303030303030304,-0.8181818181818182,-0.2,0.6
